userId,createdAt,countryCode_x,platform,amount,eventId,source,network,adUnitFormat,deviceId,advertisingId,packageName,adUnitName,countryCode_y,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,googleAdId,idfa,idfv,index
47123348Ld7f16c70403f8e1affdb1332931e,2024-01-01 09:19:52.900940+00:00,nl,android,0.00330641,GGXB32293442357576,source 1,network 1,adUnitFormat 1,OCNZ40740081001824,PJDF37672139806354,packageName 1,adUnitName 1,ca,2024-01-01 17:23:46.000000 UTC,9,galaxya50,False,EJRY87002175420325,adGroupName 1,trackerName 1,channel 1,campaign 1,creative 1,android,TLUV25481018293147,,,1-1-1
47123348Ld7f16c70403f8e1affdb1332931e,2024-01-01 09:06:11.618966+00:00,nl,android,0.015,ZFAS45155583461209,source 1,network 9,adUnitFormat 1,OCNZ40740081001824,PJDF37672139806354,packageName 1,adUnitName 1,ca,2024-01-01 17:23:46.000000 UTC,9,galaxya50,False,EJRY87002175420325,adGroupName 1,trackerName 1,channel 1,campaign 1,creative 1,android,TLUV25481018293147,,,1-1-1
47123348Ld7f16c70403f8e1affdb1332931e,2024-01-01 14:48:32.799666+00:00,nl,android,0.01,VHHS60915188517622,source 1,network 9,adUnitFormat 1,OCNZ40740081001824,PJDF37672139806354,packageName 1,adUnitName 1,ca,2024-01-01 17:23:46.000000 UTC,9,galaxya50,False,EJRY87002175420325,adGroupName 1,trackerName 1,channel 1,campaign 1,creative 1,android,TLUV25481018293147,,,1-1-1
47123348Ld7f16c70403f8e1affdb1332931e,2024-01-01 09:06:11.618966+00:00,nl,android,0.015,ZFAS45155583461209,source 1,network 9,adUnitFormat 1,OCNZ40740081001824,PJDF37672139806354,packageName 1,adUnitName 1,ca,2024-01-01 17:23:46.000000 UTC,9,galaxya50,False,EJRY87002175420325,adGroupName 1,trackerName 1,channel 1,campaign 1,creative 1,android,TLUV25481018293147,,,1-1-1
47123348Ld7f16c70403f8e1affdb1332931e,2024-01-01 14:48:32.799666+00:00,nl,android,0.01,VHHS60915188517622,source 1,network 9,adUnitFormat 1,OCNZ40740081001824,PJDF37672139806354,packageName 1,adUnitName 1,ca,2024-01-01 17:23:46.000000 UTC,9,galaxya50,False,EJRY87002175420325,adGroupName 1,trackerName 1,channel 1,campaign 1,creative 1,android,TLUV25481018293147,,,1-1-1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 04:19:04.281771+00:00,ca,android,0.000115718,ACVH81800365309399,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,au,2024-01-01 01:22:50.000000 UTC,9,galaxytaba(2017),False,QLVO96314900235206,adGroupName 2,trackerName 2,channel 1,campaign 2,creative 1,android,VNSA39644876747171,,,1-2-1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 04:41:18.041051+00:00,ca,android,0.000111094,AJIE67942237150314,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,au,2024-01-01 01:22:50.000000 UTC,9,galaxytaba(2017),False,QLVO96314900235206,adGroupName 2,trackerName 2,channel 1,campaign 2,creative 1,android,VNSA39644876747171,,,1-2-1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 05:02:39.465687+00:00,ca,android,0.000101411,NMFD23525567785987,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,au,2024-01-01 01:22:50.000000 UTC,9,galaxytaba(2017),False,QLVO96314900235206,adGroupName 2,trackerName 2,channel 1,campaign 2,creative 1,android,VNSA39644876747171,,,1-2-1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 06:41:46.783231+00:00,ca,android,0.000154257,MEHX26688076746853,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,au,2024-01-01 01:22:50.000000 UTC,9,galaxytaba(2017),False,QLVO96314900235206,adGroupName 2,trackerName 2,channel 1,campaign 2,creative 1,android,VNSA39644876747171,,,1-2-1
06c53348Lb7f6262c4261a5b7340f301f4a92,2024-01-01 08:00:45.014775+00:00,ca,android,0.000132851,BNHB37216705096339,source 1,network 1,adUnitFormat 1,OPDS19296982968073,WYWS55356535259373,packageName 1,adUnitName 1,au,2024-01-01 01:22:50.000000 UTC,9,galaxytaba(2017),False,QLVO96314900235206,adGroupName 2,trackerName 2,channel 1,campaign 2,creative 1,android,VNSA39644876747171,,,1-2-1
